Start,End,Character,Original Text,Translation,Machine Translations
"00:19:00,280","00:19:02,400",,"round shape,
like the Victorians used to have",,
"00:19:02,400","00:19:05,320",,"when they used to wear the hat,
but instead of that flat shape",,
"00:19:05,320","00:19:08,280",,"that they have on the top, she's
going to have the Victorian rolls.",,
"00:19:08,280","00:19:11,280",,"Meggan's bowled in there. She's
done no preparation to the hair.",,
"00:19:11,280","00:19:14,720",,"The Victorians were meticulous.
They were immaculate.",,
"00:19:14,720","00:19:17,360",,"The Edwardians
were a bit more fluffy and full.",,
"00:19:17,360","00:19:19,400",,"The Victorians,
the hairline was smooth.",,
"00:19:19,400","00:19:21,600",,"If it was a middle parting,
it was sharp.",,
"00:19:21,600","00:19:23,160",,"So, it should be sharp hair.",,
"00:19:23,160","00:19:26,120",,"So, Victorian hair
I've seen as very, very tidy,",,
"00:19:26,120","00:19:29,440",,"so there's no room
for messy in this.",,
"00:19:29,440","00:19:33,680",,"In Victorian style, barrel curls
were very much part of it.",,
"00:19:33,680","00:19:37,440",,"I was thinking
of taking this front section",,
"00:19:37,440","00:19:42,720",,"and, literally,
just pushing it up like that",,
"00:19:42,720","00:19:47,160",,"and then taking these
two bits here and rolling it.",,
"00:19:47,160","00:19:50,000",,"Kellie and Marlene are doing
barrel curls and that's what the",,
"00:19:50,000","00:19:53,240",,"Victorians did, but it was
mostly done on young girls.",,
"00:19:53,240","00:19:56,440",,"It was, kind of, when you went
to your first dance.",,
"00:19:56,440","00:19:59,640",,"I'm not sure that says
43-year-old murderer.",,
"00:19:59,640","00:20:02,800",,"Flamboyant Phil is known
for messy undone hair,",,
"00:20:02,800","00:20:07,320",,"but having come third in the first
challenge, he better smarten up.",,
"00:20:07,320","00:20:09,960",,"I'm doing something
that's very tame today.",,
"00:20:09,960","00:20:12,320",,"That Dungeon show
must have scared you, Phil.",,
"00:20:12,320","00:20:15,360",,"I have to really be respectful
of the brief.",,
"00:20:15,360","00:20:19,600",,"I'll use the rats at the back,
very slick and flat at the front.",,
"00:20:19,600","00:20:20,920",,Think young Victoria.,,
"00:20:20,920","00:20:24,560",,"No, Phil, think middle-aged
Victoria. She's 43.",,
"00:20:26,800","00:20:31,840",,"You've had one hour.
You have 30 minutes left.",,
"00:20:31,840","00:20:33,800",,Just putting the first rat in.,,
"00:20:33,800","00:20:37,680",,"So, it needs to be backcombed,
to give it thickness,",,
"00:20:37,680","00:20:41,400",,"but smooth, to give it precision.",,
"00:20:41,400","00:20:45,760",,"Looking at Phil, he should
be putting three ponytails,",,
"00:20:45,760","00:20:47,680",,so it's a strong base.,,
"00:20:47,680","00:20:52,000",,"You can roll it in then you grip
onto the back of the elastic bands.",,
"00:20:52,000","00:20:53,400",,I'm going to go to Plan Two.,,
"00:20:55,520","00:20:57,640",,"I would normally grip this,",,
"00:20:57,640","00:21:01,600",,"but now I'm just going to put
a bobble in to keep it really tight,",,
"00:21:01,600","00:21:04,760",,"cos I'm not getting the precision
with the tightness that I want.",,
"00:21:04,760","00:21:07,760",,"Well, maybe try Plan B,
rather than Plan Two.",,
"00:21:07,760","00:21:09,720",,"My rat is right here, underneath,",,
"00:21:09,720","00:21:11,920",,"it's just holding up
the beehive thing.",,
"00:21:11,920","00:21:15,600",,"I definitely don't want
to have my doughnut on show.",,
"00:21:15,600","00:21:17,200",,"Very good, Marlene.",,
"00:21:17,200","00:21:20,000",,"Denise has seen enough
of your doughnuts for one day.",,
"00:21:23,800","00:21:27,320",,"I've just set the back up,
put some curls into it.",,
"00:21:27,320","00:21:32,680",,"I haven't dressed the back fully
yet so I'm just doing the sides.",,
"00:21:32,680","00:21:35,760",,"Looking around everyone, I can see
that everyone's got neat hairstyles",,
"00:21:35,760","00:21:38,360",,"and mine's the total opposite,
as usual.",,
"00:21:38,360","00:21:40,800",,"Victorians were not like smooth.
It's more like natural,",,
"00:21:40,800","00:21:42,560",,"so it looks like
she's done it herself.",,
"00:21:42,560","00:21:45,320",,"Meggan, that's Edwardians.",,
"00:21:45,320","00:21:47,760",,"Obviously, being in the bottom
at the last round,",,
"00:21:47,760","00:21:51,680",,"I could do with winning, otherwise
I'll end up going home, won't I?",,
"00:21:51,680","00:21:55,040",,"Maryia, that's one way
to make me go away. Continue.",,
"00:21:55,040","00:21:57,040",,"Stylists,
you have five minutes left.",,
"00:22:01,480","00:22:05,280",,"Oh, sugar. Breathe.
Compose yourself.",,
"00:22:10,520","00:22:13,960",,"Time's up, friends.",,
"00:22:13,960","00:22:15,440",,Hands off the hair.,,
"00:22:17,800","00:22:20,640",,"The judges will now
scrutinise the hair rats,",,
"00:22:20,640","00:22:23,640",,"making sure they're well made
and concealed, as well as checking",,
"00:22:23,640","00:22:28,480",,"that the style fits the original
brief for the poisonous Mrs Edmunds.",,
"00:22:32,080","00:22:36,000",,"Will Maryia's Victorian poisoner
murder the judges?",,
"00:22:38,040","00:22:40,440",,"Alain,
is this historically accurate?",,
"00:22:40,440","00:22:44,640",,"Absolutely. Love the ringlets
you have fixed on the front.",,
"00:22:44,640","00:22:47,400",,"You've done a great job
making it very consistent.",,
"00:22:47,400","00:22:50,120",,"Created a beautiful shape here.
I like it.",,
"00:22:50,120","00:22:52,480",,"It's very neat and immaculate,
cos that's one thing",,
"00:22:52,480","00:22:55,520",,"about the Victorians -
they loved to be smooth.",,
"00:22:57,960","00:23:02,280",,"Can Kellie's ringlets
kill in the Dungeon?",,
"00:23:02,280","00:23:05,480",,"The back itself, it's too long
really for the ringlets.",,
"00:23:05,480","00:23:07,240",,"It looks a little bit
out of proportion.",,
"00:23:07,240","00:23:09,240",,"What I would have done
is used a little bit",,
"00:23:09,240","00:23:10,960",,more of a snood like this.,,
"00:23:10,960","00:23:12,760",,You put it all inside.,,
"00:23:12,760","00:23:15,560",,"That would have brought back
the characteristic of the style.",,
"00:23:19,560","00:23:22,720",,"Do Marlene's rats
say Victorian murderer?",,
"00:23:24,160","00:23:27,120",,"Here it's looking a little young
for the finish of it.",,
"00:23:27,120","00:23:30,120",,"And the hair rats here is really...
You've got a nice shape,",,
"00:23:30,120","00:23:31,720",,"you know, and we can't see anything.",,
"00:23:31,720","00:23:33,400",,"It's all hair, which is great.",,
"00:23:33,400","00:23:36,280",,"The only thing is, I just feel
that could have been a little bit",,
"00:23:36,280","00:23:38,480",,"softer, not quite as solid.",,
"00:23:41,680","00:23:46,280",,"Has Phil gone middle-aged
Victorian poisoner enough?",,
"00:23:46,280","00:23:48,640",,"I love the roll that
you've created on the back,",,
"00:23:48,640","00:23:50,360",,they're very symmetrical.,,
"00:23:50,360","00:23:52,360",,"You know, you were
struggling to start with.",,
"00:23:52,360","00:23:54,520",,"You really achieved
a beautiful work.",,
"00:23:54,520","00:23:57,680",,"The only criticism I would say
is your braiding should have",,
"00:23:57,680","00:23:59,000",,been a little bit thicker.,,
"00:23:59,000","00:24:01,080",,"You can feel Victorian.
You can see Victorian.",,
"00:24:01,080","00:24:04,320",,"It's very, very clean and very
sharp. Everything's symmetrical.",,
"00:24:04,320","00:24:06,400",,"The hair ratting, it's very even.",,
"00:24:08,400","00:24:12,840",,"Has Meggan's messy Victorian
gone all Edwardian?",,
"00:24:12,840","00:24:14,880",,Is it historically accurate?,,
"00:24:14,880","00:24:18,480",,"I think it's gone
a little too Edwardian, really.",,
"00:24:18,480","00:24:19,760",,Not enough Victorian.,,
"00:24:19,760","00:24:22,040",,"I do still like
the way you distributed",,
"00:24:22,040","00:24:23,840",,all your rolls on the back.,,
"00:24:23,840","00:24:24,920",,It's well achieved,,
"00:24:24,920","00:24:28,080",,"but it's not clean enough
for what we're asking for.",,
"00:24:28,080","00:24:30,560",,"You've done a lovely shape
in the back , but the thing",,
"00:24:30,560","00:24:34,080",,"about the Victorians is that they
were very, very sleek and sharp.",,
"00:24:34,080","00:24:36,040",,"Almost if we narrowed it down a bit,",,
"00:24:36,040","00:24:38,240",,"we could actually
take it into the era.",,
"00:24:40,400","00:24:42,280",,All that remains is for the judges,,
"00:24:42,280","00:24:45,800",,"and Natalie to choose whose
design will be used to promote",,
"00:24:45,800","00:24:49,800",,"the Dungeon's latest character,
the poisonous Mrs Edmunds.",,
"00:24:49,800","00:24:52,120",,"They've got obviously
the height and everything,",,
"00:24:52,120","00:24:54,360",,"the parting very neat, very precise.",,
"00:24:54,360","00:24:56,280",,With perfect classic style.,,
"00:24:56,280","00:24:58,600",,I'm transported into the era.,,
"00:24:58,600","00:25:03,040",,"Ah, a Grand Slam - everyone's
vote across the board.",,
"00:25:03,040","00:25:06,120",,"Obviously , this is very exciting
if my hairstyle will be chosen,",,
"00:25:06,120","00:25:08,160",,but we just need to see.,,
"00:25:08,160","00:25:12,320",,"I wanted to really show them
that I've stayed true to the",,
"00:25:12,320","00:25:15,160",,"Victorian era
and I'm really proud of myself.",,
"00:25:15,160","00:25:18,520",,"They wasn't
overly impressed with it.",,
"00:25:18,520","00:25:20,880",,"I definitely don't think
I'm going to be chosen.",,
"00:25:20,880","00:25:23,240",,"I was pretty disappointed
when I heard the comments,",,
"00:25:23,240","00:25:25,360",,"because I was over the moon
with what I'd done.",,
"00:25:25,360","00:25:30,040",,"I don't know how I've managed to
make it Edwardian and not Victorian.",,
"00:25:30,040","00:25:31,800",,"With the decision made,",,
"00:25:31,800","00:25:35,400",,"it's time to find out whose
style is about to become infamous",,
"00:25:35,400","00:25:40,240",,"nationwide and who is going to miss
out on a place in the semifinal.",,
"00:25:40,240","00:25:43,640",,"Each of you has raised
your standard today.",,
"00:25:43,640","00:25:46,400",,"I really, really was blown away.",,
"00:25:46,400","00:25:50,040",,"It is the quarterfinal
and I hope you keep it up.",,
"00:25:50,040","00:25:53,800",,"You'll need to,
to stay in the competition.",,
"00:25:53,800","00:25:58,640",,"Only one of you can, of course,
win the honour of designing",,
"00:25:58,640","00:26:01,160",,the hairstyle for Mrs Edmunds.,,
"00:26:01,160","00:26:05,760",,"Alain, Denise and Natalie
have decided that the style",,
"00:26:05,760","00:26:12,080",,they loved the most...,,
"00:26:12,080","00:26:13,640",,was Phil's.,,
"00:26:13,640","00:26:15,080",,"Congratulations, Phil.",,
"00:26:15,080","00:26:16,120",,APPLAUSE,,
"00:26:22,120","00:26:23,920",,Well done.,,
"00:26:23,920","00:26:27,760",,"I can't believe that a hairstyle
that I've created is going to",,
"00:26:27,760","00:26:31,200",,be used for the London Dungeons.,,
"00:26:31,200","00:26:34,480",,Of course someone is leaving today.,,
"00:26:34,480","00:26:37,840",,"Again, you all did such a brilliant
job, you should be very proud of",,
"00:26:37,840","00:26:40,160",,the work you created today.,,
"00:26:40,160","00:26:46,360",,But the person going home today,,
"00:26:46,360","00:26:49,440",,is Meggan. Well done Meggan.,,
"00:26:49,440","00:26:53,600",,"You should be really proud
of what you did today.",,
"00:26:53,600","00:26:56,560",,"I feel disappointed,
but I'm so proud of myself",,
"00:26:56,560","00:26:59,520",,"and it's been
the best experience of my life.",,
"00:26:59,520","00:27:01,520",,Meggan didn't have a very good day.,,
"00:27:01,520","00:27:04,200",,"Looking back, she's been last
quite a few times,",,
"00:27:04,200","00:27:05,440",,just passing through.,,
"00:27:05,440","00:27:09,040",,"Unfortunately today, she hit
the ceiling, wasn't enough really,",,
"00:27:09,040","00:27:10,160",,so she had to go.,,
"00:27:10,160","00:27:13,160",,"She is young. You know, I'm very
confident with a bit more practice,",,
"00:27:13,160","00:27:15,560",,"she will have
a really good career ahead of her.",,
"00:27:15,560","00:27:17,280",,I do feel really proud of myself.,,
"00:27:17,280","00:27:20,000",,"Every challenge,
I'm just learning new things.",,
"00:27:20,000","00:27:23,240",,The competition is tough now.,,
"00:27:23,240","00:27:26,160",,"I am pleased with myself
to be in semifinals.",,
"00:27:26,160","00:27:28,120",,It's a big achievement for me.,,
"00:27:28,120","00:27:30,320",,"Eeek, it's the semifinals.",,
"00:27:30,320","00:27:34,400",,"I'm really excited and I'm ready
for the next challenge.",,
"00:27:34,400","00:27:37,520",,"Been a good day.
It's been a good day.",,
"00:27:37,520","00:27:39,160",,I'm going to take it all on board,,
"00:27:39,160","00:27:42,720",,"and you might not have heard
the last of Meggan George just yet.",,
"00:27:48,600","00:27:50,200",,Next week on Hair...,,
"00:27:50,200","00:27:52,680",,"<font color=""#00ffff"">Will you get there? </font>Let's hope so.",,
"00:27:52,680","00:27:55,920",,"Back in the salon,
it's the semifinal and the pressure",,
"00:27:55,920","00:28:00,600",,"reaches fever pitch, as the amateurs
go wild to impress the judges.",,
"00:28:00,600","00:28:03,240",,"This is your last chance
to make a statement.",,
"00:28:03,240","00:28:05,840",,And face another tough eliminator.,,
"00:28:05,840","00:28:08,000",,"I can't put the hair
back on the head now.",,
"00:28:08,000","00:28:12,000",,"Only three will make it through to
the final to face the ultimate test.",,
"00:28:12,000","00:28:16,200",,"It's a brief that even professionals
admit is their most challenging -",,
"00:28:16,200","00:28:18,160",,bridal hair.,,
"00:28:18,160","00:28:22,120",,"Win or lose,
this is your final challenge.",,
"00:28:22,120","00:28:27,320",,"At a top end avant-garde wedding
show and working with real brides,",,
"00:28:27,320","00:28:32,120",,"who's got what it takes to be
crowned the winner of Hair 2015?",,
"00:28:32,120","00:28:34,960",,The winner is...,,
